Set,Type,Operator,Depot,Livery,Status,Interior,In Service,Gauge,myki
2040,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 9th May 1990",1435mm Standard gauge,ACS
2041,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 27th Mar 1991",1435mm Standard gauge,ACS
2042,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 5th Oct 1990",1435mm Standard gauge,ACS
2043,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 2nd Jul 1990",1435mm Standard gauge,ACS
2044,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 4th Oct 1990",1435mm Standard gauge,ACS
2045,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 11th Oct 1990",1435mm Standard gauge,ACS
2046,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 15th Oct 1990",1435mm Standard gauge,ACS
2047,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 16th Oct 1990",1435mm Standard gauge,ACS
2048,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 24th Oct 1990",1435mm Standard gauge,ACS
2049,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Sat, 24th Feb 1990",1435mm Standard gauge,Conduent
2050,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 26th Oct 1990",1435mm Standard gauge,Conduent
2051,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 24th Oct 1990",1435mm Standard gauge,Conduent
2052,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",1435mm Standard gauge,ACS
2053,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",1435mm Standard gauge,ACS
2054,B2-Class,Yarra Trams,Essendon,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Tue, 30th Oct 1990",1435mm Standard gauge,ACS
2055,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 30th Oct 1990",1435mm Standard gauge,ACS
2056,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 31st Oct 1990",1435mm Standard gauge,ACS
2057,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 31st Oct 1990",1435mm Standard gauge,ACS
2058,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 1st Nov 1990",1435mm Standard gauge,Conduent
2059,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 2nd Nov 1990",1435mm Standard gauge,Conduent
2060,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 13th Nov 1990",1435mm Standard gauge,ACS
2061,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 16th Nov 1990",1435mm Standard gauge,Conduent
2062,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 30th Nov 1990",1435mm Standard gauge,ACS
2063,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 10th Dec 1990",1435mm Standard gauge,ACS
2064,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 17th Dec 1990",1435mm Standard gauge,ACS
2065,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 18th Jan 1991",1435mm Standard gauge,ACS
2066,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 20th Dec 1990",1435mm Standard gauge,Conduent
2067,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 18th Jan 1991",1435mm Standard gauge,Conduent
2068,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 18th Jan 1991",1435mm Standard gauge,ACS
2069,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 20th Mar 1991",1435mm Standard gauge,ACS
2070,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 7th May 1993",1435mm Standard gauge,ACS
2071,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 3rd May 1991",1435mm Standard gauge,Conduent
2072,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 13th May 1991",1435mm Standard gauge,ACS
2073,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Mon, 24th Jun 1991",1435mm Standard gauge,ACS
2074,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 4th Jul 1991",1435mm Standard gauge,ACS
2075,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 1st Jul 1991",1435mm Standard gauge,Conduent
2076,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 26th Jul 1991",1435mm Standard gauge,ACS
2077,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 15th Oct 1991",1435mm Standard gauge,Conduent
2078,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 22nd Oct 1991",1435mm Standard gauge,ACS
2079,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 13th Dec 1991",1435mm Standard gauge,ACS
2080,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 13th Nov 1991",1435mm Standard gauge,ACS
2081,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 26th Feb 1992",1435mm Standard gauge,Conduent
2082,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 9th Dec 1991",1435mm Standard gauge,ACS
2083,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 11th Dec 1991",1435mm Standard gauge,Conduent
2084,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 16th Mar 1992",1435mm Standard gauge,ACS
2085,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 19th Feb 1992",1435mm Standard gauge,ACS
2086,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 20th Oct 1992",1435mm Standard gauge,ACS
2087,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 7th Feb 1992",1435mm Standard gauge,ACS
2088,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 3rd Apr 1992",1435mm Standard gauge,ACS
2089,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 12th Mar 1992",1435mm Standard gauge,ACS
2090,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 16th Mar 1992",1435mm Standard gauge,ACS
2091,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Mon, 6th Apr 1992",1435mm Standard gauge,ACS
2092,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Wed, 20th May 1992",1435mm Standard gauge,ACS
2093,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 18th Sep 1992",1435mm Standard gauge,ACS
2094,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 18th Sep 1992",1435mm Standard gauge,ACS
2095,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 30th Sep 1992",1435mm Standard gauge,ACS
2096,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 26th Aug 1992",1435mm Standard gauge,Conduent
2097,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 19th Oct 1992",1435mm Standard gauge,Conduent
2098,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 13th Oct 1992",1435mm Standard gauge,ACS
2099,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 21st Oct 1992",1435mm Standard gauge,ACS
2100,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Thu, 10th Sep 1992",1435mm Standard gauge,ACS
2101,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 27th Oct 1992",1435mm Standard gauge,Conduent
2102,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 5th Nov 1992",1435mm Standard gauge,ACS
2103,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 23rd Nov 1992",1435mm Standard gauge,Conduent
2104,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 15th Dec 1992",1435mm Standard gauge,ACS
2105,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 16th Dec 1992",1435mm Standard gauge,ACS
2106,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 13th Jan 1993",1435mm Standard gauge,ACS
2107,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 13th Jan 1993",1435mm Standard gauge,ACS
2108,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 29th Jan 1993",1435mm Standard gauge,ACS
2109,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 22nd Jan 1993",1435mm Standard gauge,ACS
2110,B2-Class,Yarra Trams,Essendon,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Thu, 11th Feb 1993",1435mm Standard gauge,ACS
2111,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 6th Apr 1993",1435mm Standard gauge,ACS
2112,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 7th Apr 1993",1435mm Standard gauge,Conduent
2113,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 12th May 1993",1435mm Standard gauge,ACS
2114,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 12th May 1993",1435mm Standard gauge,ACS
2115,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 4th Jun 1993",1435mm Standard gauge,ACS
2116,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 30th Jun 1993",1435mm Standard gauge,ACS
2117,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 28th Jun 1993",1435mm Standard gauge,Conduent
2118,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 1st Sep 1993",1435mm Standard gauge,Conduent
2119,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 1st Sep 1993",1435mm Standard gauge,ACS
2120,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 28th Sep 1993",1435mm Standard gauge,ACS
2121,B2-Class,Yarra Trams,Glenhuntly,PTV Green,In-Service,Yarra Trams Refurbished,"Tue, 28th Sep 1993",1435mm Standard gauge,ACS
2122,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 15th Nov 1993",1435mm Standard gauge,ACS
2123,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 20th Dec 1993",1435mm Standard gauge,Conduent
2124,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 24th Nov 1993",1435mm Standard gauge,ACS
2125,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 1st Dec 1993",1435mm Standard gauge,ACS
2126,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 16th Dec 1993",1435mm Standard gauge,Conduent
2127,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 21st Feb 1994",1435mm Standard gauge,ACS
2128,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 31st Mar 1994",1435mm Standard gauge,ACS
2129,B2-Class,Yarra Trams,Camberwell,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 27th May 1994",1435mm Standard gauge,ACS
2130,B2-Class,Yarra Trams,Essendon,PTV Green,In-Service,Yarra Trams Refurbished,"Wed, 13th Jul 1994",1435mm Standard gauge,ACS
2131,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Sun, 19th Jun 1994",1435mm Standard gauge,ACS
2132,B2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Jul 1994",1435mm Standard gauge,ACS
3001,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Sep 2001",1435mm Standard gauge,Conduent
3002,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Sep 2001",1435mm Standard gauge,Conduent
3003,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Sep 2001",1435mm Standard gauge,Vix
3004,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Sep 2001",1435mm Standard gauge,Conduent
3005,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Vix
3006,C1-Class,Yarra Trams,Kew,PTV Green,In-Storage/accident damaged,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Vix
3007,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3008,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3009,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3010,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3011,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3012,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3013,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3014,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Mon, 31st Dec 2001",1435mm Standard gauge,Conduent
3015,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 24th Jan 2002",1435mm Standard gauge,Conduent
3016,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 24th Jan 2002",1435mm Standard gauge,Conduent
3017,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3018,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3019,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Vix
3020,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3021,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3022,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3023,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3024,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Thu, 28th Mar 2002",1435mm Standard gauge,Conduent
3025,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3026,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3027,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3028,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3029,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",1435mm Standard gauge,Conduent
3030,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3031,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3032,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 28th Jun 2002",1435mm Standard gauge,Conduent
3033,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",1435mm Standard gauge,Conduent
3034,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",1435mm Standard gauge,Conduent
3035,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",1435mm Standard gauge,Conduent
3036,C1-Class,Yarra Trams,Kew,PTV Green,In-Service,Yarra Trams Refurbished,"Fri, 30th Aug 2002",1435mm Standard gauge,Conduent
5103,C2-Class,Yarra Trams,Southbank,PTV Green,In-Service,n/a,"Wed, 13th Aug 2008",1435mm Standard gauge,Conduent
5106,C2-Class,Yarra Trams,Southbank,PTV Green,In-Service,n/a,"Mon, 13th Oct 2008",1435mm Standard gauge,Conduent
5111,C2-Class,Yarra Trams,Southbank,PTV Green,In-Service,n/a,unknown,1435mm Standard gauge,Conduent
5113,C2-Class,Yarra Trams,Southbank,PTV Green,In-Service,n/a,"Thu, 17th Jul 2008",1435mm Standard gauge,Conduent
5123,C2-Class,Yarra Trams,Southbank,PTV Green,In-Service,n/a,"Wed, 11th Jun 2008",1435mm Standard gauge,Conduent
3501,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Thu, 19th Dec 2002",1435mm Standard gauge,Conduent
3502,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Thu, 19th Dec 2002",1435mm Standard gauge,Conduent
3503,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Thu, 19th Dec 2002",1435mm Standard gauge,Conduent
3504,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Thu, 19th Dec 2002",1435mm Standard gauge,Conduent
3505,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3506,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3507,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3508,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3509,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3510,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3511,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Fri, 28th Feb 2003",1435mm Standard gauge,Conduent
3512,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 2nd Jun 2003",1435mm Standard gauge,Conduent
3513,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 2nd Jun 2003",1435mm Standard gauge,Vix
3514,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Wed, 4th Jun 2003",1435mm Standard gauge,Conduent
3515,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 2nd Jun 2003",1435mm Standard gauge,Conduent
3516,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 2nd Jun 2003",1435mm Standard gauge,Conduent
3517,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 2nd Jun 2003",1435mm Standard gauge,Conduent
3518,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3519,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3520,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3521,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3522,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3523,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3524,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Sep 2003",1435mm Standard gauge,Conduent
3525,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3526,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3527,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3528,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3529,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3530,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3531,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Sun, 29th Feb 2004",1435mm Standard gauge,Conduent
3532,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3533,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Mon, 1st Dec 2003",1435mm Standard gauge,Conduent
3534,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Sun, 29th Feb 2004",1435mm Standard gauge,Vix
3535,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Sun, 29th Feb 2004",1435mm Standard gauge,Conduent
3536,D1-Class,Yarra Trams,Malvern,PTV Green,In-Storage/accident damaged,Original - M>Tram,"Sun, 29th Feb 2004",1435mm Standard gauge,Vix
3537,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Sun, 29th Feb 2004",1435mm Standard gauge,Conduent
3538,D1-Class,Yarra Trams,Malvern,PTV Green,In-Service,Original - M>Tram,"Sun, 29th Feb 2004",1435mm Standard gauge,Conduent
5001,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Thu, 4th Mar 2004",1435mm Standard gauge,Conduent
5002,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Thu, 3rd Jun 2004",1435mm Standard gauge,Conduent
5003,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Wed, 2nd Jun 2004",1435mm Standard gauge,Vix
5004,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Wed, 2nd Jun 2004",1435mm Standard gauge,Vix
5005,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Thu, 3rd Jun 2004",1435mm Standard gauge,Conduent
5006,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Wed, 2nd Jun 2004",1435mm Standard gauge,Conduent
5007,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Storage/accident damaged,Original - M>Tram,"Wed, 2nd Jun 2004",1435mm Standard gauge,Vix
5008,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Storage/accident damaged,Original - M>Tram,"Thu, 2nd Sep 2004",1435mm Standard gauge,Vix
5009,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Storage/accident damaged,Original - M>Tram,"Thu, 2nd Sep 2004",1435mm Standard gauge,Vix
5010,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Wed, 2nd Jun 2004",1435mm Standard gauge,Conduent
5011,D2-Class,Yarra Trams,Brunswick,PTV Green,In-Service,Original - M>Tram,"Thu, 2nd Sep 2004",1435mm Standard gauge,Vix
